Phylum,Total Species Count,Average Species Count
Firmicutes,14895,303.98
Mollusca,13057,296.75
Ciliophora,10284,285.67
Bacteroidetes,13993,274.37
Chytridiomycota,13295,271.33
Chordata,11906,270.59
Proteobacteria,12472,265.36
Cyanobacteria,14794,264.18
Porifera,15730,257.87
Glomeromycota,15115,256.19
Pteridophyta,13467,254.09
Basidiomycota,13554,246.44
Ginkgophyta,12778,245.73
Ascomycota,13932,244.42
Nematoda,10424,242.42
Euglenozoa,10148,225.51
Annelida,9573,222.63
Bryophyta,12043,218.96
Actinobacteria,11438,215.81
Arthropoda,9660,201.25
